Card 1,Card 2,Card 3,Card 4,Card 5,Hand
Queen Spades,Jack Diamonds,10 Spades,10 Heart,9 Diamonds,One pair
2 Clubs,3 Diamonds,2 Spades,3 Clubs,10 Clubs,Two pairs
4 Clubs,9 Spades,2 Clubs,7 Spades,6 Clubs,Nothing in hand
7 Clubs,Jack Diamonds,Queen Diamonds,King Diamonds,2 Heart,Nothing in hand
8 Heart,King Spades,Ace Spades,Ace Clubs,8 Diamonds,Two pairs
7 Heart,7 Clubs,3 Spades,Queen Spades,5 Heart,One pair
Ace Spades,7 Spades,Queen Heart,4 Clubs,8 Clubs,Nothing in hand
Queen Clubs,2 Heart,2 Diamonds,3 Clubs,Queen Spades,Two pairs
Queen Spades,Queen Heart,Jack Heart,8 Heart,7 Spades,One pair
10 Clubs,7 Spades,Jack Clubs,Jack Heart,5 Clubs,One pair
10 Spades,6 Heart,6 Diamonds,4 Heart,10 Diamonds,Two pairs
4 Diamonds,7 Spades,King Spades,3 Spades,9 Heart,Nothing in hand
9 Diamonds,4 Spades,4 Clubs,Queen Heart,9 Clubs,Two pairs
10 Diamonds,9 Spades,2 Heart,Ace Clubs,2 Diamonds,One pair
King Spades,6 Heart,4 Heart,8 Spades,6 Spades,One pair
3 Clubs,Queen Diamonds,2 Spades,8 Spades,5 Clubs,Nothing in hand
King Diamonds,Ace Diamonds,5 Diamonds,10 Spades,3 Heart,Nothing in hand
8 Heart,10 Spades,Ace Heart,Queen Clubs,4 Heart,Nothing in hand
5 Heart,6 Spades,Jack Heart,King Clubs,3 Diamonds,Nothing in hand
5 Clubs,10 Spades,10 Diamonds,5 Spades,2 Clubs,Two pairs
10 Clubs,8 Diamonds,8 Heart,5 Diamonds,8 Spades,Three of a kind
7 Heart,Jack Heart,King Diamonds,4 Heart,Jack Spades,One pair
Queen Heart,7 Diamonds,Jack Heart,10 Heart,5 Heart,Nothing in hand
King Diamonds,4 Clubs,10 Clubs,King Clubs,6 Heart,One pair
9 Diamonds,Jack Heart,King Heart,Jack Clubs,7 Clubs,One pair
Queen Clubs,9 Heart,3 Spades,Ace Clubs,9 Spades,One pair
7 Heart,5 Heart,9 Heart,5 Diamonds,3 Heart,One pair
Queen Spades,Jack Heart,4 Diamonds,7 Clubs,5 Clubs,Nothing in hand
5 Clubs,5 Heart,10 Clubs,Jack Spades,Ace Diamonds,One pair
6 Diamonds,Jack Clubs,8 Heart,5 Diamonds,King Spades,Nothing in hand
8 Spades,6 Clubs,9 Diamonds,7 Diamonds,10 Clubs,Straight
9 Diamonds,9 Clubs,7 Clubs,4 Heart,King Diamonds,One pair
8 Diamonds,Queen Diamonds,4 Spades,10 Spades,King Heart,Nothing in hand
Queen Diamonds,6 Heart,3 Spades,8 Heart,Jack Clubs,Nothing in hand
6 Diamonds,8 Diamonds,Queen Clubs,2 Clubs,Jack Heart,Nothing in hand
2 Diamonds,4 Spades,3 Clubs,7 Spades,6 Spades,Nothing in hand
5 Diamonds,Ace Clubs,8 Spades,3 Spades,5 Heart,One pair
5 Spades,2 Diamonds,Jack Diamonds,9 Clubs,7 Heart,Nothing in hand
Ace Spades,9 Spades,2 Clubs,Ace Clubs,Queen Diamonds,One pair
Ace Clubs,8 Diamonds,6 Spades,7 Clubs,4 Diamonds,Nothing in hand
Jack Diamonds,10 Clubs,6 Clubs,2 Heart,King Diamonds,Nothing in hand
5 Clubs,9 Spades,Ace Heart,5 Spades,3 Heart,One pair
10 Diamonds,6 Diamonds,Ace Spades,Queen Heart,10 Spades,One pair
3 Diamonds,8 Clubs,Ace Diamonds,King Spades,2 Clubs,Nothing in hand
7 Clubs,10 Clubs,8 Spades,Queen Spades,Queen Diamonds,One pair
2 Heart,2 Spades,5 Diamonds,5 Heart,Ace Diamonds,Two pairs
3 Diamonds,King Clubs,7 Spades,8 Spades,10 Heart,Nothing in hand
4 Diamonds,Jack Clubs,2 Spades,3 Diamonds,8 Heart,Nothing in hand
5 Heart,10 Clubs,8 Spades,10 Diamonds,7 Diamonds,One pair
7 Spades,Jack Spades,Queen Diamonds,King Clubs,Ace Clubs,Nothing in hand
5 Diamonds,Jack Heart,Ace Spades,Queen Heart,8 Clubs,Nothing in hand
Jack Heart,4 Heart,Ace Spades,Queen Clubs,8 Clubs,Nothing in hand
9 Diamonds,7 Clubs,3 Heart,7 Heart,3 Diamonds,Two pairs
Ace Diamonds,7 Spades,2 Spades,10 Diamonds,2 Heart,One pair
2 Spades,Jack Heart,3 Heart,8 Spades,7 Heart,Nothing in hand
6 Clubs,2 Heart,6 Spades,Queen Heart,9 Clubs,One pair
Queen Heart,5 Clubs,Ace Diamonds,2 Clubs,8 Clubs,Nothing in hand
Ace Clubs,6 Diamonds,6 Clubs,10 Heart,5 Spades,One pair
6 Heart,6 Spades,Queen Clubs,7 Heart,6 Clubs,Three of a kind
7 Diamonds,Jack Spades,Ace Clubs,King Heart,King Diamonds,One pair
Jack Spades,Queen Diamonds,8 Clubs,Queen Spades,4 Diamonds,One pair
Jack Spades,10 Diamonds,King Clubs,10 Heart,7 Heart,One pair
4 Heart,5 Spades,3 Spades,5 Clubs,4 Spades,Two pairs
5 Clubs,Queen Clubs,6 Heart,3 Spades,King Diamonds,Nothing in hand
8 Spades,Jack Diamonds,2 Heart,10 Clubs,King Clubs,Nothing in hand
4 Diamonds,10 Heart,Queen Heart,3 Spades,4 Clubs,One pair
9 Clubs,3 Heart,King Heart,King Diamonds,9 Spades,Two pairs
2 Spades,Queen Clubs,7 Diamonds,3 Heart,9 Spades,Nothing in hand
5 Spades,Queen Spades,Ace Heart,Jack Heart,4 Clubs,Nothing in hand
8 Heart,4 Heart,2 Spades,Queen Heart,5 Diamonds,Nothing in hand
Queen Heart,Ace Spades,10 Clubs,5 Clubs,5 Spades,One pair
6 Spades,4 Heart,7 Spades,7 Clubs,6 Diamonds,Two pairs
5 Heart,King Diamonds,3 Diamonds,6 Clubs,5 Spades,One pair
4 Spades,10 Spades,King Clubs,6 Spades,8 Diamonds,Nothing in hand
5 Spades,2 Heart,King Clubs,6 Clubs,Queen Diamonds,Nothing in hand
Queen Diamonds,4 Spades,10 Spades,5 Heart,9 Spades,Nothing in hand
6 Diamonds,Jack Heart,6 Spades,Jack Diamonds,9 Clubs,Two pairs
7 Diamonds,8 Diamonds,Queen Diamonds,King Clubs,7 Spades,One pair
9 Spades,2 Diamonds,7 Clubs,3 Clubs,King Spades,Nothing in hand
2 Spades,5 Diamonds,Jack Spades,Queen Heart,Queen Clubs,One pair
7 Clubs,9 Spades,4 Clubs,Ace Spades,9 Heart,One pair
9 Diamonds,3 Diamonds,10 Heart,2 Spades,7 Diamonds,Nothing in hand
3 Clubs,King Heart,7 Diamonds,Jack Clubs,2 Spades,Nothing in hand
King Spades,7 Spades,10 Heart,6 Clubs,King Diamonds,One pair
Jack Clubs,8 Spades,10 Clubs,2 Clubs,King Spades,Nothing in hand
5 Diamonds,4 Spades,4 Heart,3 Heart,9 Clubs,One pair
3 Clubs,7 Diamonds,Queen Spades,Ace Spades,Jack Clubs,Nothing in hand
4 Heart,Ace Spades,10 Clubs,King Spades,9 Clubs,Nothing in hand
Ace Heart,10 Clubs,3 Clubs,Queen Heart,9 Heart,Nothing in hand
10 Spades,4 Spades,5 Heart,5 Spades,10 Clubs,Two pairs
Jack Clubs,7 Diamonds,Ace Diamonds,4 Clubs,3 Spades,Nothing in hand
Ace Spades,4 Clubs,Queen Clubs,8 Diamonds,9 Spades,Nothing in hand
7 Spades,Jack Heart,Queen Diamonds,King Spades,6 Heart,Nothing in hand
2 Clubs,3 Spades,10 Clubs,Ace Heart,2 Diamonds,One pair
6 Heart,King Heart,Ace Clubs,7 Clubs,8 Clubs,Nothing in hand
5 Spades,Jack Spades,5 Heart,7 Spades,Queen Clubs,One pair
2 Diamonds,4 Diamonds,8 Heart,10 Heart,King Diamonds,Nothing in hand
Queen Clubs,Jack Clubs,10 Diamonds,Queen Spades,5 Heart,One pair
6 Spades,6 Heart,Ace Diamonds,King Diamonds,Queen Heart,One pair
10 Clubs,3 Diamonds,Queen Diamonds,5 Diamonds,7 Clubs,Nothing in hand
8 Diamonds,8 Heart,Ace Clubs,Queen Spades,Jack Diamonds,One pair
10 Heart,8 Clubs,6 Heart,Jack Heart,9 Heart,Nothing in hand
King Clubs,4 Diamonds,2 Clubs,3 Heart,Queen Diamonds,Nothing in hand
5 Diamonds,9 Clubs,5 Clubs,2 Heart,4 Heart,One pair
8 Heart,6 Spades,9 Spades,Queen Spades,4 Clubs,Nothing in hand
3 Diamonds,King Heart,4 Diamonds,King Spades,Ace Spades,One pair
Ace Clubs,10 Spades,3 Clubs,9 Heart,6 Spades,Nothing in hand
5 Heart,7 Clubs,King Clubs,9 Clubs,4 Diamonds,Nothing in hand
10 Spades,8 Diamonds,Queen Spades,Ace Diamonds,2 Clubs,Nothing in hand
9 Diamonds,10 Heart,Ace Clubs,Jack Clubs,2 Spades,Nothing in hand
3 Spades,10 Heart,2 Spades,Queen Spades,9 Clubs,Nothing in hand
10 Heart,4 Heart,4 Diamonds,6 Spades,6 Clubs,Two pairs
5 Diamonds,Ace Clubs,6 Clubs,10 Diamonds,9 Spades,Nothing in hand
6 Clubs,3 Diamonds,10 Spades,King Heart,5 Diamonds,Nothing in hand
Jack Heart,9 Spades,Queen Diamonds,4 Spades,10 Diamonds,Nothing in hand
Ace Spades,2 Heart,9 Clubs,9 Heart,Jack Clubs,One pair
Ace Heart,7 Clubs,10 Heart,5 Heart,6 Spades,Nothing in hand
7 Spades,Jack Heart,Ace Clubs,Ace Diamonds,Jack Spades,Two pairs
King Diamonds,8 Spades,4 Spades,9 Clubs,4 Heart,One pair
Ace Spades,2 Heart,10 Heart,6 Diamonds,3 Heart,Nothing in hand
King Diamonds,6 Diamonds,5 Heart,7 Diamonds,8 Clubs,Nothing in hand
King Diamonds,10 Heart,Queen Spades,3 Heart,9 Diamonds,Nothing in hand
9 Spades,6 Heart,Ace Clubs,2 Heart,2 Clubs,One pair
9 Diamonds,6 Diamonds,8 Spades,2 Clubs,Queen Clubs,Nothing in hand
10 Diamonds,Jack Diamonds,4 Spades,6 Clubs,9 Heart,Nothing in hand
10 Diamonds,3 Clubs,2 Spades,7 Spades,8 Clubs,Nothing in hand
7 Spades,4 Spades,5 Heart,Queen Clubs,8 Heart,Nothing in hand
9 Clubs,Ace Spades,2 Spades,10 Heart,Queen Diamonds,Nothing in hand
Queen Heart,Jack Clubs,8 Clubs,5 Diamonds,9 Heart,Nothing in hand
9 Clubs,4 Clubs,King Clubs,7 Spades,5 Heart,Nothing in hand
9 Heart,4 Spades,8 Diamonds,Ace Diamonds,10 Diamonds,Nothing in hand
2 Clubs,10 Spades,3 Spades,4 Diamonds,Jack Spades,Nothing in hand
10 Diamonds,5 Diamonds,Queen Spades,7 Clubs,King Clubs,Nothing in hand
6 Clubs,Ace Heart,Jack Spades,4 Diamonds,3 Heart,Nothing in hand
3 Diamonds,Queen Diamonds,5 Clubs,Jack Heart,2 Clubs,Nothing in hand
8 Spades,Queen Diamonds,Jack Spades,2 Clubs,4 Heart,Nothing in hand
2 Clubs,King Heart,9 Heart,10 Diamonds,King Diamonds,One pair
8 Clubs,6 Clubs,9 Clubs,6 Spades,3 Spades,One pair
2 Heart,10 Clubs,6 Diamonds,5 Diamonds,Jack Heart,Nothing in hand
Jack Heart,4 Heart,King Diamonds,5 Diamonds,Queen Clubs,Nothing in hand
7 Clubs,Jack Clubs,2 Clubs,5 Heart,4 Heart,Nothing in hand
6 Heart,Ace Spades,Jack Clubs,King Heart,10 Spades,Nothing in hand
7 Diamonds,King Clubs,4 Clubs,Jack Clubs,Jack Diamonds,One pair
5 Diamonds,5 Clubs,9 Diamonds,8 Clubs,9 Clubs,Two pairs
7 Heart,2 Diamonds,2 Heart,King Spades,Queen Heart,One pair
3 Heart,6 Spades,9 Clubs,Ace Clubs,7 Spades,Nothing in hand
5 Clubs,10 Diamonds,King Diamonds,9 Diamonds,6 Heart,Nothing in hand
5 Diamonds,2 Heart,3 Diamonds,Ace Clubs,Ace Spades,One pair
Queen Clubs,King Heart,7 Heart,3 Clubs,King Spades,One pair
10 Diamonds,10 Clubs,Ace Heart,9 Heart,10 Spades,Three of a kind
8 Heart,2 Diamonds,King Diamonds,Queen Clubs,5 Diamonds,Nothing in hand
6 Spades,9 Clubs,4 Clubs,King Spades,5 Diamonds,Nothing in hand
3 Diamonds,King Diamonds,Jack Clubs,7 Spades,5 Heart,Nothing in hand
King Diamonds,4 Spades,Jack Clubs,Queen Diamonds,3 Clubs,Nothing in hand
5 Clubs,6 Clubs,2 Diamonds,3 Spades,9 Diamonds,Nothing in hand
Jack Diamonds,7 Diamonds,Ace Heart,Queen Clubs,Queen Spades,One pair
3 Spades,2 Diamonds,7 Clubs,King Spades,10 Heart,Nothing in hand
4 Heart,5 Clubs,7 Spades,5 Diamonds,7 Diamonds,Two pairs
6 Clubs,9 Clubs,9 Diamonds,Jack Heart,Queen Heart,One pair
7 Spades,Ace Spades,6 Spades,10 Clubs,Jack Clubs,Nothing in hand
5 Heart,6 Spades,Ace Spades,4 Clubs,3 Heart,Nothing in hand
8 Diamonds,King Heart,4 Clubs,2 Heart,Jack Clubs,Nothing in hand
Ace Spades,7 Heart,6 Spades,5 Heart,5 Clubs,One pair
9 Diamonds,5 Spades,10 Spades,5 Heart,7 Clubs,One pair
King Spades,8 Clubs,Ace Spades,3 Diamonds,9 Spades,Nothing in hand
6 Spades,7 Heart,Ace Diamonds,Jack Clubs,4 Diamonds,Nothing in hand
4 Heart,9 Spades,10 Clubs,Queen Clubs,6 Clubs,Nothing in hand
Jack Diamonds,Jack Clubs,5 Heart,4 Diamonds,4 Spades,Two pairs
4 Spades,Queen Diamonds,7 Spades,2 Diamonds,10 Diamonds,Nothing in hand
4 Heart,2 Diamonds,4 Clubs,King Clubs,Ace Heart,One pair
3 Clubs,8 Diamonds,Ace Spades,8 Clubs,King Heart,One pair
10 Heart,7 Clubs,3 Heart,3 Spades,7 Heart,Two pairs
5 Spades,9 Heart,4 Diamonds,7 Heart,Queen Clubs,Nothing in hand
King Diamonds,2 Clubs,9 Diamonds,6 Heart,4 Spades,Nothing in hand
Queen Clubs,Jack Spades,7 Heart,3 Clubs,Jack Clubs,One pair
Ace Clubs,10 Heart,8 Heart,4 Heart,4 Clubs,One pair
Ace Clubs,Ace Heart,6 Diamonds,10 Heart,4 Heart,One pair
7 Diamonds,Ace Heart,4 Diamonds,5 Heart,Jack Spades,Nothing in hand
King Spades,6 Heart,Queen Clubs,2 Clubs,3 Clubs,Nothing in hand
3 Heart,5 Clubs,2 Heart,8 Heart,10 Spades,Nothing in hand
3 Clubs,Queen Diamonds,10 Spades,King Spades,9 Clubs,Nothing in hand
3 Heart,Jack Clubs,4 Diamonds,7 Heart,5 Clubs,Nothing in hand
2 Spades,3 Diamonds,3 Spades,10 Clubs,King Heart,One pair
4 Spades,Ace Spades,10 Clubs,5 Spades,2 Diamonds,Nothing in hand
Queen Clubs,King Clubs,8 Diamonds,9 Clubs,Ace Clubs,Nothing in hand
2 Clubs,King Clubs,2 Heart,5 Heart,Jack Spades,One pair
Ace Spades,2 Heart,Queen Diamonds,2 Diamonds,9 Diamonds,One pair
Queen Diamonds,3 Heart,Ace Diamonds,4 Spades,7 Heart,Nothing in hand
7 Heart,8 Spades,5 Diamonds,10 Clubs,3 Heart,Nothing in hand
2 Diamonds,Queen Diamonds,3 Diamonds,5 Clubs,6 Spades,Nothing in hand
10 Diamonds,Ace Clubs,6 Spades,8 Spades,Jack Clubs,Nothing in hand
4 Diamonds,10 Heart,5 Spades,7 Clubs,Ace Heart,Nothing in hand
8 Heart,10 Clubs,Queen Diamonds,4 Spades,9 Clubs,Nothing in hand
10 Diamonds,9 Clubs,8 Spades,5 Clubs,2 Diamonds,Nothing in hand
King Heart,6 Heart,3 Spades,6 Clubs,3 Heart,Two pairs
10 Clubs,10 Spades,6 Clubs,2 Heart,5 Clubs,One pair
Ace Heart,7 Spades,Ace Spades,Jack Heart,5 Heart,One pair
8 Diamonds,2 Diamonds,Jack Spades,9 Clubs,4 Spades,Nothing in hand
5 Clubs,Queen Clubs,6 Spades,8 Diamonds,8 Heart,One pair
Queen Spades,Jack Clubs,10 Clubs,8 Heart,Queen Clubs,One pair
2 Diamonds,3 Clubs,3 Heart,6 Clubs,4 Heart,One pair
3 Heart,Ace Diamonds,3 Diamonds,3 Clubs,2 Spades,Three of a kind
King Spades,2 Clubs,2 Diamonds,Ace Heart,3 Clubs,One pair
7 Diamonds,Jack Diamonds,3 Heart,8 Clubs,9 Diamonds,Nothing in hand
8 Heart,5 Diamonds,Ace Heart,8 Clubs,3 Heart,One pair
6 Heart,9 Spades,5 Spades,Jack Diamonds,8 Clubs,Nothing in hand
3 Heart,Queen Diamonds,Jack Heart,10 Heart,2 Spades,Nothing in hand
6 Heart,5 Spades,8 Diamonds,2 Spades,King Diamonds,Nothing in hand
Ace Spades,8 Spades,Queen Spades,4 Spades,2 Diamonds,Nothing in hand
2 Spades,2 Clubs,Ace Heart,5 Clubs,9 Heart,One pair
2 Diamonds,King Diamonds,Jack Spades,Ace Diamonds,7 Heart,Nothing in hand
3 Clubs,3 Spades,2 Heart,Jack Spades,9 Heart,One pair
10 Spades,5 Clubs,6 Clubs,6 Heart,4 Clubs,One pair
8 Clubs,Jack Spades,10 Heart,7 Spades,Jack Clubs,One pair
Ace Diamonds,4 Diamonds,King Clubs,5 Heart,King Spades,One pair
5 Heart,9 Spades,6 Clubs,4 Spades,Queen Heart,Nothing in hand
9 Clubs,2 Clubs,10 Heart,Queen Diamonds,6 Clubs,Nothing in hand
Queen Spades,5 Diamonds,2 Clubs,Jack Heart,Jack Spades,One pair
7 Spades,5 Clubs,9 Clubs,4 Clubs,King Spades,Nothing in hand
5 Diamonds,8 Spades,10 Spades,King Spades,Queen Clubs,Nothing in hand
8 Clubs,Jack Heart,6 Clubs,7 Heart,2 Heart,Nothing in hand
3 Diamonds,6 Spades,10 Heart,9 Heart,King Heart,Nothing in hand
9 Heart,Ace Spades,8 Spades,6 Heart,2 Clubs,Nothing in hand
5 Spades,King Diamonds,Queen Spades,9 Spades,8 Clubs,Nothing in hand
2 Clubs,King Diamonds,Ace Diamonds,10 Diamonds,King Heart,One pair
6 Clubs,5 Diamonds,6 Diamonds,Queen Diamonds,Ace Diamonds,One pair
3 Spades,5 Clubs,Ace Heart,6 Spades,2 Clubs,Nothing in hand
Ace Diamonds,2 Spades,Queen Heart,7 Clubs,Ace Spades,One pair
8 Heart,Jack Diamonds,Ace Clubs,4 Heart,10 Spades,Nothing in hand
King Spades,2 Spades,8 Diamonds,7 Clubs,6 Spades,Nothing in hand
5 Spades,Ace Spades,7 Clubs,Queen Spades,6 Spades,Nothing in hand
Jack Diamonds,Queen Clubs,Queen Spades,6 Spades,10 Diamonds,One pair
Ace Diamonds,3 Spades,King Clubs,10 Diamonds,9 Heart,Nothing in hand
6 Heart,2 Spades,7 Clubs,5 Diamonds,8 Clubs,Nothing in hand
4 Heart,King Spades,3 Heart,5 Spades,9 Heart,Nothing in hand
Queen Diamonds,3 Spades,7 Diamonds,9 Clubs,4 Spades,Nothing in hand
Ace Diamonds,3 Clubs,Queen Diamonds,4 Heart,Ace Spades,One pair
Ace Diamonds,9 Spades,Ace Spades,Ace Heart,King Heart,Three of a kind
Ace Clubs,6 Spades,10 Spades,2 Heart,6 Clubs,One pair
Queen Clubs,5 Spades,Ace Heart,2 Heart,8 Spades,Nothing in hand
10 Diamonds,2 Diamonds,8 Heart,4 Diamonds,King Clubs,Nothing in hand
10 Clubs,4 Heart,Ace Spades,5 Heart,2 Diamonds,Nothing in hand
2 Heart,8 Diamonds,King Heart,10 Heart,7 Diamonds,Nothing in hand
King Spades,10 Diamonds,2 Heart,2 Diamonds,5 Spades,One pair
Jack Diamonds,3 Spades,Ace Spades,9 Heart,Ace Heart,One pair
3 Spades,Ace Spades,10 Diamonds,4 Clubs,6 Spades,Nothing in hand
7 Spades,10 Heart,King Heart,Ace Diamonds,Jack Spades,Nothing in hand
Queen Diamonds,3 Diamonds,8 Heart,10 Clubs,Jack Diamonds,Nothing in hand
Ace Clubs,6 Spades,6 Heart,3 Spades,3 Heart,Two pairs
Jack Diamonds,7 Diamonds,King Diamonds,9 Diamonds,10 Spades,Nothing in hand
3 Diamonds,Jack Spades,3 Clubs,Jack Diamonds,9 Heart,Two pairs
Ace Clubs,Jack Diamonds,3 Heart,6 Clubs,2 Spades,Nothing in hand
4 Spades,Jack Heart,7 Spades,6 Diamonds,3 Clubs,Nothing in hand
3 Spades,9 Spades,King Diamonds,9 Diamonds,6 Spades,One pair
2 Clubs,King Heart,2 Spades,Queen Diamonds,5 Clubs,One pair
4 Diamonds,10 Spades,3 Spades,9 Heart,3 Heart,One pair
5 Clubs,4 Diamonds,3 Diamonds,7 Diamonds,9 Spades,Nothing in hand
King Heart,5 Spades,King Diamonds,9 Clubs,10 Spades,One pair
5 Spades,7 Clubs,Queen Clubs,Jack Spades,6 Diamonds,Nothing in hand
4 Clubs,2 Clubs,7 Clubs,Jack Diamonds,8 Clubs,Nothing in hand
9 Diamonds,2 Clubs,2 Spades,Ace Heart,8 Spades,One pair
9 Spades,Queen Clubs,2 Spades,10 Heart,3 Clubs,Nothing in hand
10 Heart,Jack Diamonds,King Spades,5 Spades,7 Clubs,Nothing in hand
10 Spades,Jack Heart,King Spades,King Heart,Ace Clubs,One pair
5 Clubs,7 Clubs,5 Diamonds,King Clubs,2 Spades,One pair
King Diamonds,Queen Spades,9 Heart,8 Diamonds,5 Spades,Nothing in hand
King Heart,2 Heart,7 Spades,8 Spades,6 Clubs,Nothing in hand
8 Heart,7 Clubs,Ace Diamonds,4 Diamonds,2 Clubs,Nothing in hand
3 Diamonds,10 Diamonds,4 Spades,Ace Heart,3 Heart,One pair
3 Heart,Ace Clubs,10 Clubs,4 Heart,Queen Diamonds,Nothing in hand
6 Heart,Ace Diamonds,Jack Diamonds,9 Heart,King Diamonds,Nothing in hand
Ace Clubs,2 Spades,Queen Spades,10 Clubs,Queen Clubs,One pair
5 Diamonds,7 Heart,7 Clubs,King Spades,8 Clubs,One pair
4 Clubs,10 Spades,8 Clubs,2 Spades,7 Spades,Nothing in hand
10 Diamonds,9 Clubs,9 Heart,Ace Spades,10 Clubs,Two pairs
5 Spades,7 Diamonds,2 Spades,4 Clubs,3 Clubs,Nothing in hand
5 Spades,Queen Heart,3 Clubs,Queen Diamonds,3 Diamonds,Two pairs
King Heart,7 Clubs,2 Clubs,Queen Heart,6 Clubs,Nothing in hand
5 Diamonds,4 Diamonds,5 Clubs,Jack Clubs,Queen Diamonds,One pair
Queen Heart,4 Clubs,Queen Diamonds,King Diamonds,Jack Spades,One pair
King Heart,Queen Diamonds,7 Diamonds,5 Heart,6 Heart,Nothing in hand
8 Diamonds,8 Clubs,2 Heart,10 Spades,7 Clubs,One pair
King Diamonds,9 Heart,6 Clubs,3 Clubs,Queen Diamonds,Nothing in hand
9 Heart,8 Spades,King Spades,10 Spades,Ace Spades,Nothing in hand
10 Clubs,8 Clubs,Jack Diamonds,7 Spades,9 Spades,Straight
3 Clubs,6 Heart,5 Diamonds,9 Heart,7 Spades,Nothing in hand
6 Heart,9 Heart,8 Heart,Jack Spades,7 Clubs,Nothing in hand
Queen Heart,2 Clubs,Jack Diamonds,8 Clubs,Queen Spades,One pair
Ace Diamonds,King Clubs,7 Spades,Queen Diamonds,2 Clubs,Nothing in hand
Jack Heart,10 Heart,7 Diamonds,4 Heart,10 Spades,One pair
8 Clubs,6 Clubs,Ace Diamonds,6 Spades,3 Spades,One pair
4 Clubs,7 Spades,Jack Clubs,Jack Spades,4 Diamonds,Two pairs
Ace Spades,4 Clubs,Ace Diamonds,King Heart,4 Spades,Two pairs
Queen Diamonds,Jack Clubs,2 Clubs,5 Heart,8 Heart,Nothing in hand
9 Heart,10 Heart,3 Clubs,Ace Heart,King Diamonds,Nothing in hand
10 Diamonds,Jack Diamonds,8 Clubs,7 Clubs,6 Clubs,Nothing in hand
Jack Spades,8 Clubs,Queen Clubs,4 Clubs,3 Diamonds,Nothing in hand
3 Clubs,Jack Clubs,2 Spades,5 Diamonds,10 Clubs,Nothing in hand
4 Spades,9 Diamonds,10 Clubs,Queen Clubs,2 Diamonds,Nothing in hand
6 Heart,King Clubs,8 Heart,8 Diamonds,2 Clubs,One pair
4 Spades,6 Spades,9 Diamonds,2 Diamonds,5 Heart,Nothing in hand
8 Diamonds,Ace Heart,4 Clubs,6 Diamonds,7 Heart,Nothing in hand
3 Spades,5 Clubs,Jack Heart,5 Heart,King Spades,One pair
10 Clubs,3 Heart,2 Diamonds,6 Clubs,4 Spades,Nothing in hand
8 Clubs,7 Diamonds,Queen Spades,5 Clubs,6 Spades,Nothing in hand
Queen Spades,5 Diamonds,3 Heart,7 Spades,9 Spades,Nothing in hand
7 Clubs,Queen Diamonds,5 Heart,2 Diamonds,10 Clubs,Nothing in hand
3 Heart,King Heart,6 Clubs,King Spades,8 Spades,One pair
Jack Clubs,10 Clubs,4 Diamonds,4 Spades,8 Clubs,One pair
8 Spades,7 Spades,Jack Spades,5 Spades,10 Diamonds,Nothing in hand
King Clubs,9 Spades,Jack Clubs,7 Heart,3 Clubs,Nothing in hand
Jack Diamonds,Queen Heart,2 Clubs,King Spades,Ace Diamonds,Nothing in hand
Ace Diamonds,7 Diamonds,Jack Diamonds,10 Diamonds,2 Diamonds,Flush
2 Clubs,Queen Heart,2 Spades,5 Clubs,9 Clubs,One pair
8 Diamonds,Queen Heart,King Spades,9 Heart,2 Diamonds,Nothing in hand
3 Spades,9 Heart,4 Diamonds,6 Clubs,10 Heart,Nothing in hand
Ace Spades,6 Heart,8 Clubs,7 Heart,Jack Spades,Nothing in hand
4 Clubs,8 Spades,2 Spades,Queen Spades,2 Heart,One pair
Jack Clubs,8 Clubs,6 Spades,7 Heart,4 Spades,Nothing in hand
Queen Heart,7 Heart,3 Clubs,King Spades,Ace Clubs,Nothing in hand
Queen Spades,5 Spades,7 Heart,10 Diamonds,Jack Spades,Nothing in hand
10 Spades,King Spades,10 Diamonds,3 Spades,Ace Diamonds,One pair
9 Heart,Ace Diamonds,Jack Clubs,2 Diamonds,3 Clubs,Nothing in hand
King Clubs,3 Clubs,8 Spades,10 Spades,Jack Heart,Nothing in hand
King Spades,3 Spades,10 Heart,Jack Diamonds,6 Clubs,Nothing in hand
2 Diamonds,7 Heart,King Spades,2 Clubs,9 Heart,One pair
Jack Heart,6 Heart,8 Diamonds,King Clubs,King Diamonds,One pair
5 Diamonds,10 Spades,5 Heart,9 Diamonds,9 Spades,Two pairs
Jack Diamonds,Ace Diamonds,3 Clubs,Ace Spades,2 Heart,One pair
7 Spades,6 Diamonds,8 Diamonds,2 Diamonds,5 Clubs,Nothing in hand
3 Spades,9 Diamonds,8 Heart,6 Spades,6 Heart,One pair
6 Spades,10 Diamonds,Ace Clubs,9 Diamonds,5 Heart,Nothing in hand
King Diamonds,King Heart,7 Diamonds,10 Clubs,10 Diamonds,Two pairs
10 Clubs,9 Spades,7 Spades,2 Diamonds,3 Spades,Nothing in hand
Jack Diamonds,4 Diamonds,5 Diamonds,9 Heart,5 Spades,One pair
Jack Clubs,King Spades,8 Clubs,2 Clubs,10 Diamonds,Nothing in hand
Jack Clubs,3 Spades,Ace Diamonds,King Heart,Jack Diamonds,One pair
10 Diamonds,5 Spades,9 Spades,5 Diamonds,Queen Clubs,One pair
7 Diamonds,Ace Spades,Ace Clubs,8 Heart,5 Diamonds,One pair
7 Clubs,Jack Clubs,2 Diamonds,Ace Spades,Ace Heart,One pair
6 Heart,4 Heart,5 Heart,10 Heart,8 Heart,Flush
